TABLE 14 (CONTINUED),,,,,,,
,,,,,,,
,,,,,,,
1 9 7 9             1 9 8 0         1 9 '8 1,,,,,,,
STATION,6/27/1979,8/6/1979,12/12/1979,5/13/1980,10/28/1980,2/26/1981,7/29/1981
AJT01,,,70,800,,,
AJT02,"450,000","4,800",800,"58,000","800,000","9,200","40,000"
AJT03,,,,,"7,000",60,
AJT04,,,,,80,200,"1,400"
AJT05,,,,,460,900,"1,000"
HBT01,5,,,10,10,<20,40
HBT02,200,,,480,200,<20,"5,600"
HBT03,,,,<5,40,<20,
HBT04,,,,,,,120
HBT05,10,20,,100,30,<20,800
HBT06,20,280,,10,10,200,"1,000"
HBT07,10,,,<5,10,"2,900",
HBT08,100,100,,100,140,20,900
*Not sampled: riverbed was dry during survey period.,,,,,,,
37,,,,,,,
