TABLE 18,,,,
MYSTIC RIVER BASIN SURVEY,,,,
ARSENIC DATA (mg/1),,,,
1 9 8 0     1 9 8 1                1 9 8 0     1 9 8 1,,,,
STATION,5/13/1980,10/28/1980,2/26/1981,7/29/1981
AJ01,0.006,0.005,0,
AJ02,0.013,0.006,0,0.01
AJ03,0.011,0,0,
AJ04,0.001,0.002,0.004,
AJ05,0.011,0.006,0.003,
AJ06,0.006,0.005,0.003,
AJ07,0.001,0.005,0.003,
AJ08,0.006,0.005,0.003,
AJ09,0,,0,
AJ10,0.004,0.003,,
AJ11,0.004,,0,
MY10,0.002,0,0,
MY11,0.003,0,0.007,
MY12,0.002,0,0,
MY13,0.008,0.003,0.002,
MY14,,,,
MY15,0.009,0.002,0,
MY16A,,,0,
MY17A,,0,0,
MY18,,0,0.003,
HB01,0.007,0.01,0.006,0.008
HB02,0.002,0,0.007,0.002
AJT01,0.003,,,
AJT02,0.001,0,0,
AJT03,,0.005,0,
AJT04,,0,0,
AJT04,,0,0,
HBT01,0.005,0.005,0.008,0.011
HBT02,0.015,0.007,0.002,0.005
HBT03,0.002,0.003,0.002,
HBT04,,,,0.007
HBT05,0.009,0.009,0.004,0.014
HBT06,0.01,0.005,0.004,0.018
HBT07,0.003,0,0,
HBT08,0.015,0.003,0.002,0.018
