"OriginalLocationID","LocationID","Datetime","ARSENIC DATA"
"AJ01","AJ01","5/13/1980","0.006"
"AJ01","AJ01","10/28/1980","0.005"
"AJ01","AJ01","2/26/1981","0"
"AJ02","ABRN01","5/13/1980","0.013"
"AJ02","ABRN01","10/28/1980","0.006"
"AJ02","ABRN01","2/26/1981","0"
"AJ02","ABRN01","7/29/1981","0.01"
"AJ03","ABR070","5/13/1980","0.011"
"AJ03","ABR070","10/28/1980","0"
"AJ03","ABR070","2/26/1981","0"
"AJ04","HAB001","5/13/1980","0.001"
"AJ04","HAB001","10/28/1980","0.002"
"AJ04","HAB001","2/26/1981","0.004"
"AJ05","ABR049","5/13/1980","0.011"
"AJ05","ABR049","10/28/1980","0.006"
"AJ05","ABR049","2/26/1981","0.003"
"AJ06","ABR036","5/13/1980","0.006"
"AJ06","ABR036","10/28/1980","0.005"
"AJ06","ABR036","2/26/1981","0.003"
"AJ07","ABR028","5/13/1980","0.001"
"AJ07","ABR028","10/28/1980","0.005"
"AJ07","ABR028","2/26/1981","0.003"
"AJ08","ABR017","5/13/1980","0.006"
"AJ08","ABR017","10/28/1980","0.005"
"AJ08","ABR017","2/26/1981","0.003"
"AJ10","ABR006","5/13/1980","0.004"
"AJ10","ABR006","10/28/1980","0.003"
"AJ11","ABR001","5/13/1980","0.004"
"AJ11","ABR001","2/26/1981","0"
"MY10","UPL001","5/13/1980","0.002"
"MY10","UPL001","10/28/1980","0"
"MY10","UPL001","2/26/1981","0"
"MY11","MYR071","5/13/1980","0.003"
"MY11","MYR071","10/28/1980","0"
"MY11","MYR071","2/26/1981","0.007"
"MY12","MIB001","5/13/1980","0.002"
"MY12","MIB001","10/28/1980","0"
"MY12","MIB001","2/26/1981","0"
"MY13","MWRA070","5/13/1980","0.008"
"MY13","MWRA070","10/28/1980","0.003"
"MY13","MWRA070","2/26/1981","0.002"
"MY15","MWRA061","5/13/1980","0.009"
"MY15","MWRA061","10/28/1980","0.002"
"MY15","MWRA061","2/26/1981","0"
"MY16A","MYR39","2/26/1981","0"
"MY17A","MAR036","10/28/1980","0"
"MY17A","MAR036","2/26/1981","0"
"MY18","MWRA059","10/28/1980","0"
"MY18","MWRA059","2/26/1981","0.003"
"HB01","HAB0015","5/13/1980","0.007"
"HB01","HAB0015","10/28/1980","0.01"
"HB01","HAB0015","2/26/1981","0.006"
"HB01","HAB0015","7/29/1981","0.008"
"HB02","HAB002","5/13/1980","0.002"
"HB02","HAB002","10/28/1980","0"
"HB02","HAB002","2/26/1981","0.007"
"HB02","HAB002","7/29/1981","0.002"
"AJT02","SWBB","5/13/1980","0.001"
"AJT02","SWBB","10/28/1980","0"
"AJT02","SWBB","2/26/1981","0"
"AJT03","HOB103","10/28/1980","0.005"
"AJT03","HOB103","2/26/1981","0"
"AJT04","SHBTRIB","10/28/1980","0"
"AJT04","SHBTRIB","2/26/1981","0"
"AJT04","SHBTRIB","10/28/1980","0"
"AJT04","SHBTRIB","2/26/1981","0"
"HBT01","HBT01","5/13/1980","0.005"
"HBT01","HBT01","10/28/1980","0.005"
"HBT01","HBT01","2/26/1981","0.008"
"HBT01","HBT01","7/29/1981","0.011"
"HBT02","HBT02","5/13/1980","0.015"
"HBT02","HBT02","10/28/1980","0.007"
"HBT02","HBT02","2/26/1981","0.002"
"HBT02","HBT02","7/29/1981","0.005"
"HBT03","HBT03","5/13/1980","0.002"
"HBT03","HBT03","10/28/1980","0.003"
"HBT03","HBT03","2/26/1981","0.002"
"HBT05","HBT05","5/13/1980","0.009"
"HBT05","HBT05","10/28/1980","0.009"
"HBT05","HBT05","2/26/1981","0.004"
"HBT05","HBT05","7/29/1981","0.014"
"HBT06","HBT06","5/13/1980","0.01"
"HBT06","HBT06","10/28/1980","0.005"
"HBT06","HBT06","2/26/1981","0.004"
"HBT06","HBT06","7/29/1981","0.018"
"HBT07","HBT07","5/13/1980","0.003"
"HBT07","HBT07","10/28/1980","0"
"HBT07","HBT07","2/26/1981","0"
"HBT08","HBT08","5/13/1980","0.015"
"HBT08","HBT08","10/28/1980","0.003"
"HBT08","HBT08","2/26/1981","0.002"
"HBT08","HBT08","7/29/1981","0.018"
