"OriginalLocationID","LocationID","Datetime","IRON DATA"
"AJ01","AJ01","5/13/1980","2"
"AJ01","AJ01","10/28/1980","1.3"
"AJ01","AJ01","2/26/1981","1.9"
"AJ02","ABRN01","5/13/1980","2"
"AJ02","ABRN01","10/28/1980","0.85"
"AJ02","ABRN01","2/26/1981","0.9"
"AJ02","ABRN01","7/29/1981","1"
"AJ03","ABR070","5/13/1980","0.58"
"AJ03","ABR070","10/28/1980","0.6"
"AJ03","ABR070","2/26/1981","0.64"
"AJ03","ABR070","7/29/1981","0.55"
"AJ04","HAB001","5/13/1980","1.1"
"AJ04","HAB001","10/28/1980","1.5"
"AJ04","HAB001","2/26/1981","1.6"
"AJ04","HAB001","7/29/1981","1.2"
"AJ05","ABR049","5/13/1980","0.9"
"AJ05","ABR049","10/28/1980","1.5"
"AJ05","ABR049","2/26/1981","3.3"
"AJ05","ABR049","7/29/1981","1.1"
"AJ06","ABR036","5/13/1980","0.85"
"AJ06","ABR036","10/28/1980","1.3"
"AJ06","ABR036","2/26/1981","2.2"
"AJ06","ABR036","7/29/1981","1.8"
"AJ07","ABR028","5/13/1980","2"
"AJ07","ABR028","10/28/1980","1.1"
"AJ07","ABR028","2/26/1981","1.9"
"AJ07","ABR028","7/29/1981","1.2"
"AJ08","ABR017","5/13/1980","0.88"
"AJ08","ABR017","10/28/1980","1.2"
"AJ08","ABR017","2/26/1981","1.8"
"AJ08","ABR017","7/29/1981","0.78"
"AJ10","ABR006","5/13/1980","0.65"
"AJ10","ABR006","10/28/1980","1"
"AJ10","ABR006","7/29/1981","1"
"AJ11","ABR001","5/13/1980","0.4"
"AJ11","ABR001","2/26/1981","1.8"
"AJ11","ABR001","7/29/1981","0.88"
"MY10","UPL001","5/13/1980","0.18"
"MY10","UPL001","10/28/1980","0.07"
"MY10","UPL001","2/26/1981","0.24"
"MY10","UPL001","7/29/1981","0.24"
"MY11","MYR071","5/13/1980","0.35"
"MY11","MYR071","10/28/1980","0.18"
"MY11","MYR071","2/26/1981","0.23"
"MY11","MYR071","7/29/1981","0.2"
"MY12","MIB001","5/13/1980","1.4"
"MY12","MIB001","10/28/1980","1.5"
"MY12","MIB001","2/26/1981","1.2"
"MY12","MIB001","7/29/1981","1.7"
"MY13","MWRA070","5/13/1980","1.4"
"MY13","MWRA070","10/28/1980","0.7"
"MY13","MWRA070","2/26/1981","2.3"
"MY13","MWRA070","7/29/1981","0.64"
"MY14","MWRA172","5/13/1980","3.8"
"MY14","MWRA172","7/29/1981","1.2"
"MY15","MWRA061","10/28/1980","0.29"
"MY15","MWRA061","2/26/1981","0.71"
"MY15","MWRA061","7/29/1981","0.52"
"MY16A","MYR39","2/26/1981","0.82"
"MY17A","MAR036","10/28/1980","1"
"MY17A","MAR036","2/26/1981","1.6"
"MY17A","MAR036","7/29/1981","0.64"
"MY18","MWRA059","10/28/1980","0.4"
"MY18","MWRA059","2/26/1981","2.5"
"MY18","MWRA059","7/29/1981","0.35"
"HB01","HAB0015","5/13/1980","1.8"
"HB01","HAB0015","10/28/1980","1"
"HB01","HAB0015","2/26/1981","1.1"
"HB01","HAB0015","7/29/1981","1.6"
"HB02","HAB002","5/13/1980","0.5"
"HB02","HAB002","10/28/1980","0.3"
"HB02","HAB002","2/26/1981","0.35"
"HB02","HAB002","7/29/1981","2"
"AJT02","SWBB","5/13/1980","3"
"AJT02","SWBB","10/28/1980","1.6"
"AJT02","SWBB","2/26/1981","0.83"
"AJT02","SWBB","7/29/1981","0.46"
"AJT03","HOB103","10/28/1980","0.7"
"AJT03","HOB103","2/26/1981","0.37"
"AJT04","SHBTRIB","10/28/1980","0.45"
"AJT04","SHBTRIB","2/26/1981","0.35"
"AJT04","SHBTRIB","7/29/1981","0.85"
"AJT05","CUBLEX","10/28/1980","0.64"
"AJT05","CUBLEX","2/26/1981","1.3"
"AJT05","CUBLEX","7/29/1981","0.57"
"HBT01","HBT01","5/13/1980","5.7"
"HBT01","HBT01","10/28/1980","7"
"HBT01","HBT01","2/26/1981","2"
"HBT01","HBT01","7/29/1981","4"
"HBT02","HBT02","5/13/1980","2.7"
"HBT02","HBT02","10/28/1980","1"
"HBT02","HBT02","2/26/1981","1.6"
"HBT02","HBT02","7/29/1981","185"
"HBT03","HBT03","5/13/1980","2.9"
"HBT03","HBT03","10/28/1980","0.5"
"HBT03","HBT03","2/26/1981","2.4"
"HBT05","HBT05","5/13/1980","6.8"
"HBT05","HBT05","10/28/1980","4.2"
"HBT05","HBT05","2/26/1981","1.9"
"HBT05","HBT05","7/29/1981","6"
"HBT06","HBT06","5/13/1980","3.7"
"HBT06","HBT06","10/28/1980","5.5"
"HBT06","HBT06","2/26/1981","3.4"
"HBT06","HBT06","7/29/1981","4"
"HBT07","HBT07","5/13/1980","0.81"
"HBT07","HBT07","10/28/1980","1.8"
"HBT07","HBT07","2/26/1981","0.4"
"HBT08","HBT08","5/13/1980","4.4"
"HBT08","HBT08","10/28/1980","3.5"
"HBT08","HBT08","2/26/1981","2.3"
"HBT08","HBT08","7/29/1981","2"
