TABLE 32,,,,
MYSTIC RIVER BASIN SURVEY,,,,
ZINC DATA (mg/l ),,,,
,,,1 9 8 0,
STATION,5/13/1980,10/28/1980,2/26/1981,7/29/1981
AJ01,0.02,0.03,0.17,
AJ02,0.04,0.05,0.1,0.04
AJ03,0.04,0.05,0.07,0.02
AJ04,0.13,0.35,0.19,0.04
AJ05,0.1,0.2,0.25,0.09
AJ06,0.1,0.16,0.21,0.1
AJ07,0.17,0.13,0.19,0.07
AJ08,0.1,0.13,0.18,0.07
AJ09,0.02,,0.06,0.02
AJ10,0.04,0.1,,0.03
AJ11,0.04,,0.17,0.03
MY10,0.04,0.03,0.08,0.01
MY11,0.06,0.02,0.04,0.02
MY12,0.11,0.02,0.06,0.04
MY13,0.1,0.02,0.14,0.03
MY14,0.15,,,0.02
MY15,,0,0.05,0.01
MY16A,,,0.1,
MY17A,,0.02,0.11,0.03
MY18,,0,0.2,0.01
HB01,0.08,0.1,0.19,0.04
HB02,0.04,0.1,0.04,0.02
AJT01,0.07,,,
AJT02,0.15,0.12,0.11,0.07
AJT03,,0.03,0.02,
AJT04,,0.04,0.03,0.02
AJT05,,0.03,0.08,0.02
HBT01,0.03,0.05,0.07,0.03
HBT02,0.05,0.08,0.06,0.03
HBT03,0.05,0.02,0.05,
HBT04,,,,0.18
HBT05,0.05,0.15,0.08,0.08
HBT06,0.05,0.07,0.19,0.08
HBT07,0.58,0.85,0.09,
HBT08,0.15,0.32,0.48,0.08
