TABLE 6,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,
TOTAL ALKALJ.NITY DATA (as mgCaC03/l),,,,,,,
,,1 9 7 9,,1 9 8 0,,1 9 8 1,
STATION,6/27/1979,8/6/1979,12/12/1979,5/13/1980,10/28/1980,2/26/1981,7/29/1981
AJ01,,1390,182,56,44,104,
AJ02,305,1771,182,61,6.2,60,27
AJ03,31,45,37,28,12,101,41
AJ04,119,120,102,49,53,102,35
AJ05,104,82,80,53,49,58,38
AJ06,82,67,68,49,43,41,36
AJ07,77,61,64,46,49,42,31
AJ08,73,60,65,40,40,36,35
AJ09,37,40,41,36,,40,47
AJ10,70,67,61,42,38,34,41
AJ11,,,53,39,,36,42
MY10,41,43,40,35,35,36,35
MY11,47,40,50,33,54,47,37
MY12,52,55,45,13,41,21,41
MY13,81,48,,34,54,34,46
MY14,,,,59,,,49
MY15,50,46,,,55,39,43
MY16A,,,,,,54,
MY17A,49,53,,,31,27,47
MY18,58,58,,,45,30,47
HB01,140,134,77,92,49,72,76
HB02,55,60,36,42,40,40,63
20,,,,,,,
