TABLE 13,,,,,,,,,,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,,,,,,,,,,
TOTAL COLIFORM BACTERIA DATA (Total Coliform/100 ml),,,,,,,,,,,,,,,,,,
1 9 7 9              1 9 8 0          1 9 8 1,,,,,,,,,,,,,,,,,,
STATION,,,,6/27,,,8/6,,,12/12,,5/13    ,,10/28,,2/26,,  7/29
AJOl,,,,,,,"4,000",,,20,,"8,000",,700,,"3,300",,
AJ02,,,,"3,000",,,"1,300",,,30,,600,,"5,400",,"1,000",,"7,500"
AJ03,,,,100,,,"4,000",,,600,,"1,000",,"4,100",,800,,"2,500"
AJ04,,,,"1,100",,,"7,000",,,60,,"1,000",,"6,000",,400,,"9,000"
AJ05,,,,"5,000",,,"1,200",,,80,,"2,100",,"1,500",,700,,"10,000"
AJ06,,,,"3,000",,,"3,200",,,140,,"10,000",,"9,000",,"3,700",,"23,000"
AJ07,,,,"200,000",,,"6,000",,,500,,"72,000",,"180,000",,"13,300",,"20,000"
AJ08,,,,"50,000",,,"5,000",,,600,,"35,000",,"50,000",,"16,000",,"65,000"
AJ09,,,,"1,000",,,"2,000",,,400,,"1,000",,,,"400,000",,"4,500"
AJlO,,,,"4,800",,,800,,,600,,"20,000",,"31,000",,"15,000",,"9,800"
AJll,,,,,,,,,400,,,,,,,,,
MYlO,,100,,,,100,,,70,,,,,,,,,
700,,,,,,,,,,,,,"13,000",,7?800,,,
600,,,,,,,,,,,,"2,800","3,500",,300,,,
"1,600   740    1,600",,,,,,,,,,"180,000",,"1,300    700    18,00",,,,,,
"4,500   930    10,000",,,,,,,,,,"85,000",,"14,000   3,000   48,00",,,,,,
"35,000",,,"1,200",,,,,,,"1.2X106 400,000   150,000 26,000
5X106                   10,000",,,,,,,,
"1,400",,,850,,,,,,,"18,000   46,000  13,000",,,,,,,,
500,,,700,,,,,,,"400,000
35,000   250,000 35,000",,,,,,,,
50,,,"1,300",,,,,,,"15,000   38,000  6,500",,,,,,,,
MYll,,,,,,,,,,,,,,,,,,
MY12 MY13 MY14 MY15 MY16A MY17A MY18 HBOl,,,,,,,,,,,,,,,,,,
HB02,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
"11,000",,,,,,,,,,,,,,,,,,
"1,200",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
400,"7,000",,,,100,,,,,,,,,,,,,
200,900,,,,,,,,,,,,,,,,,
"2,000",,,200,,,"7,000",,,,,,,,,,,,
"3,500",,,200,,,"1,000",,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
