TABLE 16,,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,,
"TOTAL HARDNESS DATA (as mg Caco3/l)
1 9 8 0   1 9 8 1",,,,,,,1 9 8 0,,1,9 8 1
STATION,,10/29,,7/29,STATION,,10/29,,,7/29
AJOl,,89,,,AJTOl,,,,,
AJ02,,80,,37,AJT02,,74,,,45
AJ03,,49,,52,AJT03,,71,,,*
AJ04,,75,,49,AJT04,,72,,,49
AJ05,,81,,56,AJT05,,95,,,453
AJ06,,82,,56,HBTOl,,75,,,74
AJ07,,89,,51,HBT02,,84,,,80
AJ08,,81,,32,HBT03,,34,,,
AJ09,,,,51,HBT04,,,,,58
AJlO,,83,,75,HBT05,,138,,,71
AJll,,,,95,HBT06,,185,,,100
MYlO,,86,,84,HBT07,,104,,,
MYll,,91,,73,HBT08,,142,,,102
MY12,,61,,55,,,,,,
*Not sampled: riverbe.d was dry,,,,,,,,,,
MY13,86,,73,,,during survey period.,,,,
MY14,,,98,,,,,,,
MY15,105,,78,,,,,,,
MY16A,,,,,,,,,,
MY17A,57,,95,,,,,,,
MY18,163,,146,,,,,,,
HBOl,73,,26,,,,,,,
HB02,44,,57,,,,,,,
40,,,,,,,,,,
