TABLE 2 (CONTINUED),,,,,,,
STATION 6/27/79 8/6/79 12/12/79 5/13/80 10/28/80 2/26/81  7/29/81,,,,,,,
A.HO,1013,1500,1334,1345,1005,1015,1035
,60,77,49,64,44,36,70
,3.9,7.0,11.2,8.0,6.9,11.8,5.4
,39,86,98,84,56,86,60
AJ ll,,,1350,,,1010,1030
,,,48,,,39,70
,,,7.3,,,12.0,4.9
,,,63,,,90,55
MYlO,1000,1508,1405,1410,0957,1010,1015
,71,83,47,63,48,40,75
,8.5,8.8,10.8,9.9,7.7,8.8,8.0
,97,115,92,103,66,67,94
MYll,0833,1520,1414,1440,0938,1000,1005
,68,80,49,62,45,41,74
,7.5,8.6,3.5,9.0,5.7,10.5,5.9
,83,109,31,92,48,82,68
MY12,0824,1515,1424,1430,0945,0950,1025
,61,78,51,63,47,36,68
,8.5,10.4,7.3,8.8,7.2,12.7,6.7
,87,129,66,91,61,92,73
MY13,0808,1530,,1445,0935,0940,0953
,69,82,,63,,38,74
,3.9,9.6,,5.3,4.5,11.1,5.8
,44,124,,55,,83,67
MY14,,,,1455,,,1000
,,,,63,,,70
,,,,5.9,,,3.6
,,,,61,,,40
MY15,0848,1535,,,0930,0925,0940
,71,84,,,48,42,75
,9.0,13.2,,,6.7,11.2,6.9
,103,174,,,57,89,81
MY16A,,,,,,0930,
,,,,,,43,
,,,,,,9.4,
,,,,,,76,
MY17A   0907,,1551                   0913   0910   0915,,,,,
69,,80                     49     42     73,,,,,
8.1,,6.8                   8.2    17.4   7.9,,,,,
91,,86                     71              138    91,,,,,
11,,,,,,,
