TABLE 24,,,,,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,,,,,
,,,,LEAD DATA (mg/l),,,,,,,,,
,,1 9 8 0,,1 9 8 1,,,1 9 8 0,,,1 9 8 1,,,
STATION,,5/13 10/28,,2/26 7/29  STATION,,,5/13  10/28,,,2/26    7/29,,,
AJOl,o.oo,,0.03,0.04,,AJTOl,0.05,,,,,,
AJ02,0.00,,0.02,0.00,0.05,AJT02,0.30,0.10,0.07,,,o.oo,
AJ03,0.00,,0.02,0.03,0.01,AJT03,,0.05,o.oo,,,*,
AJ04,o.oo,,0.00,0.04,0.01,AJT04,,0.02,0.03,,,o.oo,
AJ05,0.00,,0.03,0.01,o.oo,AJT05,,0.03,0.04,,,o.oo,
AJ06,o.oo,,0.02,0.03,o.oo,HBTOl,o.oo,o.oo,0.05,,,o.oo,
AJ07,0.08,,0.02,0.03,0.04,HBT02,0.03,0.07,0.02,,,o.oo,
AJ08,0.03,,0.03,0.03,0.03,HBT03,0.00,0.02,0.01,,,,
AJ09,o.oo,,,0.02,o.oo,HBT04,,,,,,0.00,
AJlO,0.04,,0.00,,o.oo,HBT05,o.oo,0.03,0.01,,,o.oo,
AJll,0.03,,,0.05,o.oo,HBT06,o.oo,0.02,0.08,,,o.oo,
MYlO,o.oo,,0.00,o.oo,o.oo,HBT07,0.00,0.03,0.01,,,,
MYll,0.10,,0.02,0.02,o.oo,HBT08,0.00,0.04,0.06,,,o.oo,
"MY12
MY13","0.12
0.10",,"0.00
0.02","0.05
0.25","o.oo
0.02","            
*Not sampled: riverbed during survey period.",,,was,,dry,,
MY14,,,,,0.03,,,,,,,,
MY15,0.18,,0.00,0.05,o.oo,,,,,,,,
MY16A,,,,0.03,,,,,,,,,
MY17A,,,0.02,0.11,o.oo,,,,,,,,
MY18,,,0.00,0.05,o.oo,,,,,,,,
HBOl,o.oo,,0.00,0.03,0.02,,,,,,,,
HB02,0.00,,0.04,0.01,o.oo,,,,,,,,
48,,,,,,,,,,,,,
