TABLE 29,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,
SILVER DATA (mg/l),,,,,
1 9 8 0                       1 9 8 0,,,,,
STATION,5/13,10/28,STATION,5/13,10/28
AJOl,o.oo,o.ooo,AJTOl,0.00,
AJ02,o.oo,o.ooo,AJT02,o.oo,0.000
AJ03,0.00,o.ooo,AJT03,,0.000
AJ04,0.00,0.000,AJT04,,0.000
AJ05,o.oo,0.000,AJT05,,0.000
AJ06,0.00,0.000,HBTOl,o.oo,o.ooo
AJ07,o.oo,0.000,HBT02,o.oo,0.000
AJOB,o.oo,o.ooo,HBT03,o.oo,0.000
AJ09,o.oo,,HBT04,,
AJlO,0.00,0.000,HBT05,o.oo,0.000
AJll,o.oo,,HBT06,o.oo,0.000
MY O,0.00,0.000,HBT07,o.oo,0.000
MYll,0.00,0.000,HBT08,0.00,0.000
MY12,0.00,0.000,,,
MY13,0.00,0.000,,,
MY14,0.00,,,,
MY15,,0.000,,,
MY16A,,,,,
MY17A,,0.000,,,
MY18,,0.000,,,
HBO!,0.00,0.000,,,
HB02,0.00,0.000,,,
53,,,,,
