TABLE 32,,,,,,,,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,,,,,,,,
ZINC DATA (mg/l ),,,,,,,,,,,,,,,,
,,,1 9 8 0,,,1 9 8 1,,,,1 9 8 0,,,,1 9 8 1,,
STATION,,,5/13  10/28,,,2/26  7/29,,STATION,,5/13   10/28,,,,2/26    7/29,,
AJOl,0.02,,,0.03,0.17,,,AJTOl,0.07,,,,,,,
AJ02,0.04,,,0.05,0.10,,0.04,AJT02,0.15,,0.12,,0.11,,0.07,
AJ03,,0.04,,0.05,0.07,,0.02,AJT03,,,,0.03,0.02  *,,,
AJ04,,0.13,,0.35,0.19,,0.04,AJT04         0.04,,,,,0.03,,0.02,
AJ05,,0.10,,0.20,0.25,,0.09,AJT05          0.03,,,,,0.08,,0.02,
AJ06,,0.10,,0.16,0.21,,0.1,HBTOl    0.03  0.05,,,,,0.07,,0.03,
AJ07,,0.17,,0.13,0.19,,0.07,HBT02   0.05  0.08,,,,,0.06,,0.03,
AJ08,,0.10,,0.13,0.18,,0.07,HBT03    0.05  0.02,,,,,0.05,,,
AJ09,,0.02,,,0.06,,0.02,HBT04,,,,,,,0.18,
AJlO,,0.04,,0.10,,,0.03,HBT05   0.05  0.15,,,,,0.08,,0.08,
AJll,,0.04,,,0.17,,0.03,HBT06   0.05  0.07,,,,,0.19,,0.08,
MYlO,,0.04,,0.03,0.08,,0.01,HBT07    0.58  0.85,,,,,0.09,,,
MYll,,0.06,,0.02,0.04,,0.02,HBT08    0.15  0.32,,,,,0.48,,0.08,
MY12,,0.11,,0.02,0.06,,0.04,             ,,,,,,,,
MY13,,0.10,,0.02,0.14,,0.03,*Not sampled: riverbed during survey period.,,,,,was dry,,,
MY14,,0.15,,,,,0.02,,,,,,,,,
MY15,,,,o.oo,0.05,,0.01,,,,,,,,,
MY16A,,,,,0.10,,,,,,,,,,,
MY17A,,,,0.02,0.11,,0.03,,,,,,,,,
MY18,,,,o.oo,0.20,,0.01,,,,,,,,,
HBOl,,0.08,,0.10,0.19,,0.04,,,,,,,,,
HB02,,0.04,,0.10,0.04,,0.02,,,,,,,,,
56,,,,,,,,,,,,,,,,
