TABLE 5,,,,,,,,,,
MYSTIC RIVER BASIN SURVEY pH DATA (STANDARD UNITS),,,,,,,,,,
,,1 9 7 9,,,,1,9 8 0,,1 9 8 1,
STATION,,6/27   8/6       12/12,,,,5/13,10/28,,2/26      7/29,
AJOl,,,8.1,7.7,7.4,,,7.0,6.8,
AJ02,7.7,,8.2,7.8,7.3,,,7.3,6.9,6.6
AJ03,7.3,,7.6,7.5,7.3,,,6.8,6.7,7.3
AJ04,7.5,,8.0,7.5,7.3,,,7.5,6.7,6.9
AJ05,7.9,,7.9,7.8,7.4,,,7.1,6.8,7.6
AJ06,7.4,,7.8,7.6,7.3,,,7.1,6.9,7.2
AJ07,7.4,,7.9,7.9,7.4,,,6.9,7.5,6.9
AJ08,7.3,,7.8,8.0,7.7,,,6.9,7.4,7.6
AJ09,7.8,,7.9,7.9,8.0,,,,7.6,6.9
AJlO,7.1,,7.8,8.0,7.4,,,6.7,7.3,7.7
AJll,,,,7.9,7.7,,,,6.4,7.2
MYlO,7.8,,8.3,7.0,7.8,,,7.0,6.9,8.3
MYll,7.7,,8.0,7.8,7.5,,,7.1,7.2,7.8
MY12,7.6,,8.1,7.7,6.9,,,7.0,7.0,6.5
MY13,7.6,,7.4,,7.2,,,6.9,6.8,7.0
MY14,,,,,7.6,,,,,7.8
MY15,7.7,,7.5,,,,,7.2,7.0,6.7
MY16A,,,,,,,,,7.0,
MY17A,7.5,,7.7,,,,,6.8,6.8,7.6
MY18,8.2,,8.5,,,,,7.3,6.8,7.2
HBOl,7.6,,8.0,7.5,7.4,,,7.1,6.7,7.8
HB02,7.0,,7.6,7.2,7.1,,,6.9,6.5,7.8
18,,,,,,,,,,
