TABLE 10,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,
AMMONIA-NITROGEN DATA (mg/l),,,,,,,
,1 9 7 9,,,1 9 8 0,,1 9 8 1,
STATION,6/27/1979,8/6/1979,12/12/1979,5/13/1980,10/28/1980,2/26/1981,7/29/1981
AJ01,,148,38,4.2,3.1,2.9,
AJ02,56,129,37,4.2,9.2,2.7,1.7
AJ03,0.13,0.35,0.09,0.06,0.24,0.07,0.1
AJ04,17,20,19,3.4,9.6,2.3,3.5
AJ05,13,7.6,13,4.6,8,7.7,5.5
AJ06,10,4.5,9.2,4.3,6.2,5.7,4.5
AJ07,8,6.1,8,3,4.7,3.6,4.5
AJ08,6.3,3.7,8,3,5,4.1,1.7
AJ09,0.1,0.12,0.21,0.11,,0.95,0.18
AJ10,2.2,1.8,5.8,0.46,3.9,3.5,0.08
AJ11,,,4.4,2.7,,4.1,0.08
MY10,1.6,0.56,2.4,2.6,0.95,3.1,0.05
MY11,1.4,0.02,1.2,1.2,0.82,0.98,0.06
MY12,0.22,0.19,0.41,0.13,0.3,0.23,0.15
MY13,1.5,0.26,,0.28,0.61,0.4,0.23
MY14,,,,3.5,,,0.34
MY15,0.89,0.17,,,0.74,0.81,0.14
MY16A,,,,,,6.5,
MY17A,0.34,0.06,,,0.18,0.89,0.1
MY18,0.3,0.05,,,0.5,0.72,0.03
HB01,17,15,11,18,9.8,8.9,19
HB02,0.27,0.54,0.21,0.17,0.2,0.08,0.13
