TABLE 13,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,
TOTAL COLIFORM BACTERIA DATA (Total Coliform/100 ml),,,,,,,
1 9 7 9              1 9 8 0          1 9 8 1,,,,,,,
STATION,6/27/1979,8/6/1979,12/12/1979,5/13/1980,10/28/1980,2/26/1981,7/29/1981
AJ01,,"4,000",20,"8,000",700,"3,300",
AJ02,"3,000","1,300",30,600,"5,400","1,000","7,500"
AJ03,100,"4,000",600,"1,000","4,100",800,"2,500"
AJ04,"1,100","7,000",60,"1,000","6,000",400,"9,000"
AJ05,"5,000","1,200",80,"2,100","1,500",700,"10,000"
AJ06,"3,000","3,200",140,"10,000","9,000","3,700","23,000"
AJ07,"200,000","6,000",500,"72,000","180,000","13,300","20,000"
AJ08,"50,000","5,000",600,"35,000","50,000","16,000","65,000"
AJ09,"1,000","2,000",400,"1,000",,"400,000","4,500"
AJ10,"4,800",800,600,"20,000","31,000","15,000","9,800"
AJ11,,,400,700,,"13,000","7,800"
MY10,100,100,70,600,"2,800","3,500",300
MY11,"1,600",740,"1,600","180,000","1,300",700,"18,000"
MY12,"4,500",930,"10,000","85,000","14,000","3,000","48,000"
MY13,"35,000","1,200",,"1,200,000","400,000","150,000","26,000"
MY14,,,,"5,000,000",,,"10,000"
MY15,"1,400",850,,,"18,000","46,000","13,000"
MY16A,,,,,,"400,000",
MY17A,500,700,,,"35,000","250,000","35,000"
MY18,50,"1,300",,,"15,000","38,000","6,500"
HB01,400,"7,000",100,"11,000","2,000",200,"7,000"
HB02,200,900,,"1,200","3,500",200,"1,000"
