TABLE 2,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,
TIME - TEMPERATURE(çF) - DISSOLVED OXYGEN (mg/1)- % SATURATION,,,,,,,
STATION,6/27/1979,8/6/1979,12/12/1979,5/13/1980,10/28/1980,2/26/1981,7/29/1981
AJ01,,,1150,1145,1155,1220,
**,,,51,64,41,40,
***,,,11,8.8,6.5,11.2,
****,,,100,92,51,86,
AJ02,1136,1335,1130,1125,1152,1210,1245
,73,76,49,63,42,38,68
,4.8,2.6,10.5,7.7,7.1,11.6,6.6
,55,31,92,82,56,87,72
AJ03,1129,1330,1130,1135,1140,1200,1235
,75,85,49,63,45,38,72
,9.5,9.4,13.4,9.8,9.2,11.6,7.6
,114,125,117,102,76,87,86
AJ04,1150,1245,1122,1103,1200,1150,1225
,70,79,46,63,44,35,70
,7.4,6.8,9.9,7.9,8.8,12.2,6.1
,84,85,83,82,72,88,68
AJ05,1111,1415,1206,1155,1110,1140,1215
,68,76,49,63,41,39,68
,5.2,6.3,9.4,6,6,10.9,4.4
,58,76,82,63,49,83,48
AJ06,1056,1425,1228,1220,1100,1105,1130
,65,75,48,63,43,39,67
,5.9,6.2,10.2,6.5,8.5,10.6,6
,63,74,88,67,69,80,65
AJ07,1042,1440,1303,1305,1045,1050,1122
,64,76,48,61,45,39,68
,5.9,5.2,11.3,6.7,8.2,11.3,6.6
,63,63,98,68,68,86,72
AJ08,1033,1447,1313,1313,1035,1050,1115
,66,80,50,61,45,37,68
,4.8,5.2,10.8,6.8,8.3,11.3,5.3
,52,66,97,69,69,83,58
AJ09,1024,1445,1320,1332,1011,1020,1045
,71,85,50,64,45,39,75
,9.7,9.1,12.3,10.8,6,11,6.7
,111,121,111,114,50,83,78
