TABLE 23,,,,
MYSTIC RIVER BASIN SURVEY,,,,
IRON DATA (mg/l),,,,
1 9 8 0     l 9 8 l             1 9 8 6    1 9 8 1,,,,
STATION,5/13/1980,10/28/1980,2/26/1981,7/29/1981
AJ01,2,1.3,1.9,
AJ02,2,0.85,0.9,1
AJ03,0.58,0.6,0.64,0.55
AJ04,1.1,1.5,1.6,1.2
AJ05,0.9,1.5,3.3,1.1
AJ06,0.85,1.3,2.2,1.8
AJ07,2,1.1,1.9,1.2
AJ08,0.88,1.2,1.8,0.78
AJ09,0.2,,0.76,0.55
AJ10,0.65,1,,1
AJ11,0.4,,1.8,0.88
MY10,0.18,0.07,0.24,0.24
MY11,0.35,0.18,0.23,0.2
MY12,1.4,1.5,1.2,1.7
MY13,1.4,0.7,2.3,0.64
MY14,3.8,,,1.2
MY15,,0.29,0.71,0.52
MY16A,,,0.82,
MY17A,,1,1.6,0.64
MY18,,0.4,2.5,0.35
HB01,1.8,1,1.1,1.6
HB02,0.5,0.3,0.35,2
AJT01,0.75,,,
AJT02,3,1.6,0.83,0.46
AJT03,,0.7,0.37,
AJT04,,0.45,0.35,0.85
AJT05,,0.64,1.3,0.57
HBT01,5.7,7,2,4
HBT02,2.7,1,1.6,185
HBT03,2.9,0.5,2.4,
HBT04,,,,6
HBT05,6.8,4.2,1.9,6
HBT06,3.7,5.5,3.4,4
HBT07,0.81,1.8,0.4,
HBT08,4.4,3.5,2.3,2
