TABLE 4 (CONTINUED),,,,,,,,
,1 9 7 9,,,1,9 8 0,,,1 9 8 1
,,,,,,,,
,,,,,,,,
STATION,6/27/1979,8/6/1979,12/12/1979,5/13/1980,10/28/1980,2/26/1981,7/29/1981,
AJT01,,,2.4,4.8,,,,
AJT02,26,2.7,0.9,44,87,5.1,11,
AJT03,,,,,7.2,1.8,,
AJT04,,,,,4.5,3,2.1,
AJT05,,,,,1.5,3.3,2.4,
HBT01,19,,34,10,22,7.8,17,
HBT02,6.3,,11,9.6,9.3,16,8.4,
HBT03,,,,6.3,5.7,4,,
HBT04,,,,,,5.4,8.1,
HBT05,4.8,6.9,15,14,16,14,17,
HBT06,3.6,3.6,2.7,2.7,12,2,9,
HBT07,,,,1.5,5.1,1,,
HBT08,4.2,4.5,8.1,6.6,7.8,12,8.4,
I,,,,,,,,
*Not sampled: riverbed was dry during survey period.,,,,,,,,
17,,,,,,,,
