TABLE 11 (CONTINUED),,,"Duplicate file ""33.csv""",,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,
NITRATE-NITROGEN DATA (mg/l),,,,,,,
1 9 7 9            1 9 8 0         1 9 8 1,,,,,,,
STATION,6/27/1979,8/6/1979,12/12/1979,5/13/1980,10/28/1980,2/26/1981,7/29/1981
AJT01,,,1.5,0.8,,,
AJT02,1.2,1.6,2.8,0.9,1.1,2.4,1.1
AJT03,,,,,0.3,0.7,
AJT04,,,,,0.6,1.8,0.7
AJT05,,,,,1.1,1.2,1.7
HBT01,0.2,,0.9,0.8,0.7,0.8,0.5
HBT02,0.6,,3.6,1.4,18,6.3,5.5
HBT03,,,,1.4,4.7,1.3,
HBT04,,,,,,0.6,2
HBT05,0.6,0.9,2.8,1.7,6.6,4.3,1.6
HBT06,0.6,0.8,1.6,0.7,5.1,1.8,1.3
HBT07,,,,5.7,4.4,1.4,
HBT08,0.7,0.8,1.6,14,4.1,3,0.9
