TABLE NUMBER,TABLE NAME,start file,number of files,Characteristic ID's,Sub for zero,2nd sub for zero,,,,
1,Locations,,,,,,,,,Characteristics:
2,"time, temp, oxy",,,,,,,,,"BOD5, DO, pH, TURB, ALK, TSS, TS, SS, TKN, NH3, NO3, TP, TCOLI, FCOLI, COD, COND, CHLORIDE, SILICA, CADMIUM, COPPER, CHROMIUM, IRON, LEAD, MAGNESIUM, MANGANESE, NICKEL, ZINC, HARDNESS, ALUMINUM, TIN"
3,CHEMICAL OXYGEN DEMAND DATA,14,2,COD,,,,,,
4,FIVE-DAY BIOCHEMICAL OXYGEN DEMAND,16,2,BOD5,,,,,,
5,pH DATA,18,2,PH,,,,,,
6,TOTAL ALKALINITY DATA,20,2,ALK,,,,,,
7,SUSPENDED SOLIDS DATA,22,2,TSS,<0.5,,,,,
8,TOTAL SOLIDS DATA,24,2,TS,,,,,,
9,TOTAL KJELDAHL-NITROGEN DATA,26,2,TKN,,,,,,
10,AMMONIA-NITROGEN DATA      ,28,2,NH3,<.01,,,,,
11,NITRATE-NITROGEN DATA  ,30,2,NO3,<.01,,,,,
12,TOTAL PHOSPHORUS DATA  ,31,2,TP,,,,,,
13,TOTAL COLIFORM BACTERIA DATA,33,2,TCOLI,,,,,,
14,FECAL COLIFORM BACTERIA DATA,35,2,FCOLI,,,,,,
15,CHLORIDE DATA,37,2,CHLORIDE,,,,,,
16,TOTAL _HARDNESS DATA,39,2,HARDNESS,,,,,,
17,SULFATE DATA,40,1,,,,,,,
18,ARSENIC DATA,41,1,,<.001,,,,,
19,BARIUM DATA,42,1,,<.004,,,,,
20,CADMIUM DATA,43,1,CADMIUM,<.01,,,,,
21,CHROMIUM DATA,44,1,CHROMIUM,<.01,,,,,
22,COPPER DATA,45,1,COPPER,<.01,,,,,
23,IRON DATA,46,1,IRON,,,,,,
24,LEAD DATA,47,1,LEAD,<.01,,,,,
25,MANGANESE DATA,48,1,MANGANESE,,,,,,
26,MERCURY DATA,49,1,,< 0.0001,,,,,
27,NICKEL DATA,50,1,NICKEL,<.001,,,,,
28,SELENIUM DATA,51,1,,<.001,,,,,
29,SILVER DATA,52,1,,<.01,<.001,,,,
30,SODIUM DATA,53,1,,,,,,,
31,VANADIUM DATA,54,1,,<.01,,,,,
32,ZINC DATA,55,1,ZINC,<.01,,,,,
33,FLOW DATA,56,1,,,,,,,
,,57,,,,,,,,
